"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
97-189,,"September 15, 1997",,"CPSC, Tema Dis Ticaret Announce Recall of Multifunction Ovens","Teba brand multifunction ovens","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Tema Dis Ticaret of Izmir, Turkey, is voluntarily recalling about 3,000 Teba brand multifunction ovens. The heating elements could accumulate moisture and cause electrical current to leak, presenting a potential shock hazard.CPSC and Tema are not aware of any injuries involving these ovens. This recall is being conducted to prevent the possibility of injury.Only Teba ovens with model number TFM-5 and a 1996 date code are involved in this recall. To determine if your Teba brand oven is involved, check the model number and date code on the back panel of the unit. The model number appears on a silver tag/plate immediately below the UL symbol. The date code appears on a white sticker above the serial number. The oven is a multifunction cooking appliance that bakes, broils, grills and toasts food. The unit is white and measures about 16 inches wide, 11 inches deep and 9.5 inches high. The brand name ""Teba"" is written on the front of the unit.The ovens are packaged in a carton labeled in part, ""Teba Cooking System."" There is a picture of the oven on the carton.Department and discount stores, home supply centers, catalogs and QVC (a home shopping television program) sold the ovens nationwide from April 1996 through July 1997 for about $150.Consumers should stop using the ovens immediately and call Tema's U.S. distributor, Aisenstein &amp; Gordon Inc., collect (cost charged to company) at (609) 662-9324 from 8:30 a.m. to 5 p.m. EDT Monday through Friday to arrange to return the oven for a refund or replacement. Tema will pay all postage costs. Consumers also can contact Aisenstein &amp; Gordon Inc. at 75C Twinbridge Drive, Pennsauken, NJ 08110.","The heating elements could accumulate moisture and cause electrical current to leak, presenting a potential shock hazard.",,,,"About 3,000","CPSC and Tema are not aware of any injuries involving these ovens. This recall is being conducted to prevent the possibility of injury.","Consumers should stop using the ovens immediately and call Tema's U.S. distributor, Aisenstein &amp; Gordon Inc., collect (cost charged to company) to arrange to return the oven for a refund or replacement. Tema will pay all postage costs.","Sold At","Department and discount stores, home supply centers, catalogs and QVC (a home shopping television program) sold the ovens nationwide from April 1996 through July 1997 for about $150.",,,,,,
97-178,,"August 26, 1997",,"CPSC, Bunn-O-Matic Announce Recall of Coffeemakers","Bunn Model B-8B and B-8W coffeemakers","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Bunn-O-Matic Corporation of Springfield, Ill., is voluntarily recalling about 442 Bunn Model B-8B and B-8W coffeemakers. These machines could have a pinched wire at the base of the unit which could cause an electrical short, posing a possible shock hazard.CPSC and Bunn-O-Matic are not aware of any injuries involving these coffeemakers.The coffeemakers have either a black or white plastic base and top, and a chrome trunk. The coffeemakers measure 14? inches high by 7 inches wide by 13 inches deep. The word ""BUNN "" is printed on the front of the machine in chrome. The model number, B-8B or B-8W, is located on the sides of the carton. The carton is labeled in part, ""Bunn Home Brewing System."" Only coffeemakers manufactured on May 5, 1997, are involved in this recall. The date code is stamped on a small white sticker on the bottom of the coffeemaker, and begins with ""05199"" or ""5199.""Department and hardware stores nationwide sold the coffeemakers from May 1997 through June 1997 for about $100.Consumers should stop using these coffeemakers immediately. For information on how to obtain a full refund or free replacement of their coffeemaker, consumers should call Bunn-O-Matic at (800) 352-2866 from 9 a.m. to 5 p.m. CDT Monday through Friday.Other model Bunn coffeemakers and Bunn Model B-8B or B-8W coffeemakers with different date codes are not involved in this recall.","These machines could have a pinched wire at the base of the unit which could cause an electrical short, posing a possible shock hazard.",,,Refund,"About 443","CPSC and Bunn-O-Matic are not aware of any injuries involving these coffeemakers.","Consumers should stop using these coffeemakers immediately. For information on how to obtain a full refund or free replacement of their coffeemaker,","Sold At","Department and hardware stores nationwide sold the coffeemakers from May 1997 through June 1997 for about $100.",,,,,,
97-175,,"August 26, 1997",,"CPSC, Moulinex S.A. Announce Recall of Juice Extractors","Juice Extractors","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Moulinex S.A. of Paris, France, is recalling about 120,000 juice extractors. The juice extractor's filter and lid can break apart and project metal and plastic into the air, causing injuries to consumers.Moulinex has received three reports of the juice extractor's filter and lid breaking apart, resulting in cuts to one consumer's fingers.The juice extractors involved in this recall are model 864 with date codes before July 1, 1995. The model number and date code are located on the bottom of the unit. The date code is a 5- or 6-digit number. The 5-digit date code's last three numbers are lower than 075 and the 6-digit date code's last three numbers are lower than 795. The juice extractor is made of white and clear plastic and has a metal filter. ""Moulinex"" is printed on the side of the unit.Department, mass merchandise and appliance stores nationwide sold the juice extractors from 1990 through 1995 for about $50 to $80.Consumers should stop using the recalled juice extractors immediately. Consumers should call the Moulinex (Krups) consumer service number 1-800-526-5377 to receive a prepaid shipping label for the return of their product. The product will be repaired and sent back to the consumer, or if no parts are available, a refund will be issued.""","The juice extractor's filter and lid can break apart and project metal and plastic into the air, causing injuries to consumers.",,,"Refund, Repair","About 120,000","Moulinex has received three reports of the juice extractor's filter and lid breaking apart, resulting in cuts to one consumer's fingers.","Consumers should stop using the recalled juice extractors immediately. Consumers should call the Moulinex (Krups) consumer service number 1-800-526-5377 to receive a prepaid shipping label for the return of their product. The product will be repaired and sent back to the consumer, or if no parts are available, a refund will be issued.""","Sold At","Department, mass merchandise and appliance stores nationwide sold the juice extractors from 1990 through 1995 for about $50 to $80.",,,,,,
97-157,,"July 13, 1997",,"CPSC, Pfaltzgraff Issue Safety Alert Concerning Pizza Stones","Pfaltzgraff Pizza Stones and Deep Dish Pizza Stones","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), The Pfaltzgraff Co. of York, Pa., is warning consumers about a potential fire hazard with about 123,500 Pfaltzgraff pizza stones and deep dish pizza stones. If consumers use oil on the stones and clean them using a 550 degrees Fahrenheit oven or using the oven's self-cleaning cycle, as currently recommended in the instruction booklets accompanying the stones, the stones can catch on fire.&nbsp;Pfaltzgraff is providing consumers with new instruction booklets for the safe use of the pizza stones. The revised instruction booklets will inform consumers of the following:Use the stones only for making pizza or bread.Do not cook at temperatures exceeding 425 degrees Fahrenheit.Clean the stones by placing them on the bottom rack of a 425 degrees Fahrenheit oven for 4 hours and scouring them, after cooling, with baking soda.Pfaltzgraff has received two reports of pizza stones catching on fire due to incorrect cleaning instructions. No injuries were reported.&nbsp;The Pfaltzgraff pizza stone and deep dish pizza stone are made of unglazed clay, which is designed to give a characteristic ""brick oven"" quality to pizza and bread. The pizza stone is a flat disk about a half inch thick and 13 inches wide. A floral design and ""Pfaltzgraff USA"" are molded into the bottom of the stone. The deep dish pizza stone is a pie plate about 2 inches deep and 11 inches wide. ""Pfaltzgraff USA"" and ""Baking Stone"" are molded into the bottom of the stone.&nbsp; Pfaltzgraff outlet stores and department stores nationwide have sold both pizza stones for about $20. The pizza stone has been sold since 1993 and the deep dish pizza stone has been sold since 1995.Consumers should destroy the instruction booklets accompanying the pizza stones immediately. Consumers can receive new instruction booklets by calling Pfaltzgraff at (800) 999-2811 between 9 a.m. and 5 p.m. EDT Monday through Friday. Consumers who want to return their pizza stones for a full refund should call Pfaltzgraff to obtain shipping instructions.&nbsp;","If consumers use oil on the stones and clean them using a 550 degrees Fahrenheit oven or using the oven's self-cleaning cycle, as currently recommended in the instruction booklets accompanying the stones, the stones can catch on fire.",,,"New Instructions","About 123,500",,"Pfaltzgraff is providing consumers with new instruction booklets for the safe use of the pizza stones.&nbsp;Consumers who want to return their pizza stones for a full refund should call Pfaltzgraff to obtain shipping instructions.&nbsp;","Sold At","Pfaltzgraff has received two reports of pizza stones catching on fire due to incorrect cleaning instructions. No injuries were reported.",,Pfaltzgraff,,,,
97-097,,"April 07, 1997",,"CPSC, K-Tel International (USA) Inc. Announce Recall to Replace Food Dehydrators","K-Tel Food Dehydrators","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), K-Tel International (USA) Inc. of Plymouth, Minn., announced a replacement program for 75,000 food dehydrators. The food dehydrator can overheat, presenting a fire hazard.K-Tel is aware of nine incidents resulting in seven fires. One person was injured by smoke inhalation.The recall program involved the Deluxe Dehydrator with Fan, model no. 80043. The round, white plastic appliance measures 13 inches in diameter with a 3-inch thick base and a gray plastic lid. The base is labeled in part, ""K-TEL...Style No. LD 1010..."" The base is stacked with five trays with holes in the center. Each tray contains a gray plastic tray on which fruit, vegetables, or meat can be dried.Retail stores and telemarketers sold the dehydrators nationwide from October 1993 to December 1995 for $30 to $40.Consumers who own the K-Tel Food Dehydrator with Fan, model no. 80043, should stop using it immediately. The company is out of business, and cannot be contacted. Please destroy or discard the product.K-Tel has already notified consumers who purchased the recalled food dehydrator through telemarketing. This notice is being issued to inform consumers who purchased the food dehydrator at retail stores about the recall program.","The food dehydrator can overheat, presenting a fire hazard.",,,"Dispose, No Remedy Available","75,000","K-Tel is aware of nine incidents resulting in seven fires. One person was injured by smoke inhalation.","Consumers who own the K-Tel Food Dehydrator with Fan, model no. 80043, should stop using it immediately. The company is out of business, and cannot be contacted. Please destroy or discard the product.","Sold At","Retail stores and telemarketers sold the dehydrators nationwide from October 1993 to December 1995 for $30 to $40.",,,,,,
97-089,,"March 24, 1997",,"CPSC and T-Fal Corp. Announce Recall of Deep Fryers","T-Fal Deep Fryers with Fixed Pots","WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), T-Fal Corp. of Pine Brook, N.J., is voluntarily recalling about 29,000 deep fryers with fixed pots. Some of these deep fryers have heating elements that can overheat, presenting a risk of burn injuries.T-Fal has received 25 reports of the deep fryers' heating elements overheating, which resulted in the units' bases beginning to melt. While some counter tops have been damaged, T-Fal is not aware of any injuries or fires involving these deep fryers.&nbsp;There are three models of deep fryers subject to this recall. The models involved in this recall have fixed pots and were manufactured during particular weeks of 1996, as indicated in the following table.&nbsp;Model NameModel No.Date ManufacturedSuperclean Midi3350Manufactured during weeks 22 through 30 of 1996Superclean Maxi3358Manufactured during week 45 of 1996Superclean Maxi3360Manufactured during weeks 26 and 46 of 1996The model number and date manufactured is printed on a silver label affixed to the units' bases. The model number follows the word ""CODE."" The date manufactured is located above the words ""MADE IN MEXICO."" The week is indicated by the two-digit number and the year is indicated by the single-digit number.The fixed pot ""Superclean Midi"" fryer (model 3350) displays the words, ""T-FAL SUPERCLEAN SAFETY FRYER MIDI."" The fixed pot ""Superclean Maxi"" fryer (models 3358 and 3360) displays the words, ""T-FAL SUPERCLEAN SAFETY FRYER MAXI."" The fryers all have a molded white plastic exterior and a lid that opens on a hinge and locks into place.The deep fryers are packaged in a cardboard carton labeled in part, ""T-FAL SUPERCLEAN SAFETY FRYER."" Labeling on the carton is written in English, French, Spanish, and Portuguese. The carton displays a picture of the deep fryer.Major retail stores nationwide (including Ames, Bradlees, and Hills) and QVC (home shopping television program) sold the deep fryers from May through December 1996 for about $50 to $70.Consumers should immediately stop using the deep fryers subject to this recall and call T-Fal toll-free at (800) 395-8325. T-Fal will inspect the fryers and provide a free replacement to consumers who own fryers with problem heating elements.&nbsp;No T-Fal deep fryers with removable pots or fryers with fixed pots manufactured during other weeks are involved in this recall.","Some of these deep fryers have heating elements that can overheat, presenting a risk of burn injuries.",,,"Inspect, Replace","About 29,000","T-Fal has received 25 reports of the deep fryers' heating elements overheating, which resulted in the units' bases beginning to melt. While some counter tops have been damaged, T-Fal is not aware of any injuries or fires involving these deep fryers.","Consumers should immediately stop using the deep fryers subject to this recall and call T-Fal, who will inspect the fryers and provide a free replacement to consumers who own fryers with problem heating elements.","Sold At","Major retail stores nationwide (including Ames, Bradlees, and Hills) and QVC (home shopping television program) sold the deep fryers from May through December 1996 for about $50 to $70.",,,,,,
97-081,,"March 05, 1997",,"CPSC, Health o meter Inc. Announce Recall to Replace Filter Holders and Filter Baskets on Mr. Coffee Espresso/Cappuccino Makers",,,,,,,,,,,,,,,,,
97-076,,"March 03, 1997",,"CPSC and Ecodyne Announce Recall of Sears Water Filter Cartridges",,,,,,,,,,,,,,,,,
96-133,,"May 28, 1996",,"CPSC and Whirlpool Announce Dishwasher Recall","Whirlpool and Kenmore brand dishwashers","WASHINGTON, D.C. - CPSC, Whirlpool Corporation of Benton Harbor, Mich. is announcing the voluntary recall of approximately 500,000 Whirlpool and Kenmore brand dishwashers. Wiring in the door latch may overheat and catch fire.    Whirlpool has received 20 claims of property damage. To date, no injuries have been reported.    The dishwashers sold nationwide from June, 1991 through October, 1992 for $350 to $475. About half of the dishwashers were sold by Sears, Roebuck and Co. Affected Whirlpool brand dishwashers have model numbers beginning with DU8, DP8, DU9 and GDP, such as DU8700XY-1. Affected Kenmore dishwashers have model numbers beginning with 665, such as 665.1665591. In addition to model numbers, both Whirlpool and Kenmore have serial numbers ranging from FA2400000 through FA5299999 or from FB0100000 through FB1899999. These model numbers and serial numbers can be found on a plate on the right front edge of the tub, inside the dishwasher door.    Owners of the affected models should immediately stop using them. Dishwasher doors should be unlatched until service is completed.    Owners of Whirlpool brand dishwashers should have their model number and serial number available, then call (800) 874-9481. Whirlpool will arrange a service call or repair at no cost to consumers.    Consumers who bought either Whirlpool brand or Kenmore brand affected dishwashers from Sears, Roebuck and Co. will be notified directly by Sears representatives. Arrangements for a service call/repair will also be made at no cost to consumers. Sears customers who require additional information prior to notification should have their model number and serial number available, then call (800) 927-1625.","Wiring in the door latch may overheat and catch fire.",,,Repair,"500,000","Whirlpool has received 20 claims of property damage. To date, no injuries have been reported.","Owners of the affected models should immediately stop using them. Dishwasher doors should be unlatched until service is completed.    Owners of Whirlpool brand dishwashers should have their model number and serial number available, then call (800) 874-9481. Whirlpool will arrange a service call or repair at no cost to consumers.","Sold At","The dishwashers sold nationwide from June, 1991 through October, 1992 for $350 to $475. About half of the dishwashers were sold by Sears, Roebuck and Co.",,,,,,
96-086,,"March 25, 1996",,"CPSC, National Media Corporation Announced Juice Tiger Recall Program","Juice Tiger Juicer","WASHINGTON, D.C. -In cooperation with the U.S. Consumer Product Safety Commission (CPSC), National Media Corporation, of Philadelphia, Pa., announced an inspection and parts replacement program for 77,000 JUICE TIGER electric juicers. The plastic cover and wire mesh grater/filter basket may crack or shatter if the basket is not placed in the juicer properly, possibly injuring people nearby. CPSC and National Media Corporation are aware of 14 incidents resulting in at least eight lacerations to the hands, face, arms, and chest and one permanent eye injury.    The consumer safety program involves JUICE TIGER juicers with model numbers 204-SP and JE-1000 marked on the underside of the base. These juicers were sold directly through television infomercials from November 1991 through October 1993 at prices ranging from $100 to $150. The white plastic juicers are clearly marked with the JUICE TIGER logo, which is prominently displayed on the unit.    The consumer safety program does not apply to JUICE TIGER model 160 or those with ""Made in France"" on the underside of the base or JUICE TIGER juicers sold in retail stores and other non-television channels of distribution. National Media sold a total of approximately 600,000 JUICE TIGER juicers between November 1991 and October 1993.    Consumers should immediately check their unit for damaged parts. If cracks, scratches, or other signs of wear are present, consumers should stop using the juicer and discard or destroy it. The firm cannot be contacted and no further remedy is available.","The plastic cover and wire mesh grater/filter basket may crack or shatter if the basket is not placed in the juicer properly, possibly injuring people nearby.",,,"Dispose, Inspect, No Remedy Available","77,000","CPSC and National Media Corporation are aware of 14 incidents resulting in at least eight lacerations to the hands, face, arms, and chest and one permanent eye injury.","Consumers should immediately check their unit for damaged parts. If cracks, scratches, or other signs of wear are present, consumers should stop using the juicer and discard or destroy it. The firm cannot be contacted and no further remedy is available.","Sold At","National Media sold a total of approximately 600,000 JUICE TIGER juicers between November 1991 and October 1993.",,,,,,
96-066,,"February 13, 1996",,"CPSC, W.C. Wood Co. Announce Recall Of 345,775 Freezers","Chest Freezers","WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), W.C. Wood Company Inc. of Ottawa, Ohio, is announcing a voluntary recall to repair 345,775 chest freezers. The freezer's lock mechanism can be forced open without a key. Therefore, if a child opens the freezer and climbs or falls in, the lock could re-latch, trapping the child inside.    The freezers were sold from January 1991 through February 1996 in five different sizes: 7, 10, 12, 15, and 22 cubic feet. All of the freezers are white or almond. The freezers were sold nationwide for retail prices ranging from $199 to $549 through the following companies and brand names:    W.C. Wood Company distributed as Woods Brand and Quickfrez Brand; Danby Products Inc. of Findlay, Ohio, distributed as Danby Brand;    Crosley Group of Winston-Salem, N.C., distributed as Crosley Brand;    Whirlpool Corporation of Benton Harbor, Mich., distributed as Whirlpool Brand, Roper Brand, and Estate Brand.    W.C. Wood Co. is aware of five reports of incidents in which children have opened locked freezers without a key, including one report of a child who allegedly became trapped in the freezer but was found and released by an adult. The company is not aware of any injuries involving these freezers. This recall is being conducted to prevent the possibility of injury.    Consumers with recalled Whirlpool, Roper or Estate brand freezers should contact Whirlpool Corp. toll-free at (866) 580-9177 from 8 a.m. to 5 p.m. ET Monday through Friday, to determine if they have an affected freezer. Before calling, consumers should have the brand, model and serial number of their freezer, which they can get from the plate on the front inside wall on the right side, or the outside back wall next to the temperature control. Whirlpool will send a free modification kit to consumers with recalled Whirlpool, Roper or Estate brand freezers. Until the freezer lock is modified, unlock the lid and place the key in a child-safe location. There is no remedy for unrepaired Wood's, Quickfrez, Danby and Crosley freezers. Disable and destroy unrepaired freezers.","The freezer's lock mechanism can be forced open without a key. Therefore, if a child opens the freezer and climbs or falls in, the lock could re-latch, trapping the child inside.",,,Repair,"345,775","W.C. Wood Co. is aware of five reports of incidents in which children have opened locked freezers without a key, including one report of a child who allegedly became trapped in the freezer but was found and released by an adult. The company is not aware of any injuries involving these freezers. This recall is being conducted to prevent the possibility of injury.","Whirlpool will send a free modification kit to consumers with recalled Whirlpool, Roper or Estate brand freezers. Until the freezer lock is modified, unlock the lid and place the key in a child-safe location. There is no remedy for unrepaired Wood's, Quickfrez, Danby and Crosley freezers. Disable and destroy unrepaired freezers.",,,,,,,,
96-057,,"January 01, 1996",,"CPSC And Braun Announce Voluntary Recall Of E20/E25 Espresso/Cappuccino Makers","E20/E25 Espresso/Cappuccino Makers","Washington, D.C. - CPSC, Braun Inc. of Lynnfield, Mass., is voluntarily announcing a recall of and replacement filter holder for 5,000 espresso/cappuccino makers, models e20 and e25, type 3058.E20/E25 Espresso/Cappuccino Makers    Braun has received 16 reports of the filter holder dislodging, which resulted in three injuries, including a cut and burns.    The plastic and metal espresso/cappuccino makers have a production code stamped on the bottom of the base. This voluntary corrective action involves espresso/cappuccino makers with production codes ""426"" through ""450."" The machine was packaged in a cardboard box labeled in part ""Braun Espresso/Cappuccino Maker ... Made in switzerland."" Major department stores, kitchen supply stores and various retailers sold the espresso/cappuccino makers nationwide from August 1994 through December 1994 for between $49 and $69.    Braun is providing replacement filter holders, revised instruction sheets, and product labels to consumers who own type 3058 espresso/cappuccino makers with production codes ""426"" through ""450."" For more information, consumers can call (800) 933-8363, twenty-four hours a day, seven days a week. Consumers should have their espresso/espresso makers available at the time of the call.","If the filter holder is pushed past the maximum setting, the filter holder may dislodge under pressure. As a result, it could break the glass coffee carafe and consumers could be cut by broken glass. In addition, consumers could be burned by escaping steam or spilled coffee grounds.",,,"New Instructions",,"Braun has received 16 reports of the filter holder dislodging, which resulted in three injuries, including a cut and burns.","Braun is providing replacement filter holders, revised instruction sheets, and product labels to consumers who own type 3058 espresso/cappuccino makers with production codes ""426"" through ""450.""",,,,,,,,
95-049,,"December 19, 1995",,"Just Toys To Recall ""Quick N' Easy Micro-Bake""","Quick N' Easy Micro-Bake Cake Sets","WASHINGTON, D.C. - CPSC, Just Toys Inc. of New York, N.Y., is voluntarily recalling about 168,000 Quick N' Easy Micro-Bake Cake Sets for Kids , covered baking chambers for microwave ovens that may pose a potential fire hazard.    Just Toys has received at least 175 complaints of Micro-Bake overheating, burning, smoking, or melting inside the microwave oven while baking. In some cases, consumers reported damage to their microwave oven. In one instance, an adult reported burning her hands as she attempted to put out the fire while removing the Micro-Bake from her microwave.    Just Toys modified the cake set beginning on Nov. 7, 1994, to prevent overheating and burning. The company will exchange all Micro Bake cake sets produced prior to Nov. 7 for a new one free of charge.    The cake baking set, marketed for children ages eight and older and designed for use in home microwave ovens, includes an enclosed, white plastic baking chamber that holds a small metal cake pan.The Micro-Bake sets sold nationwide for about $20 in toy and discount stores beginning in August 1994.    Consumers should stop using the Micro-Bake immediately and call Paul Nawrocki at (212) 645-1515 x. 107 for help in identifying the recalled products and for exchange information.","These covered baking chambers for microwave ovens may pose a potential fire hazard. Just Toys has received at least 175 complaints of Micro-Bake overheating, burning, smoking, or melting inside the microwave oven while baking.",,,Replace,"Approximately 168,000","Just Toys has received at least 175 complaints of Micro-Bake overheating, burning, smoking, or melting inside the microwave oven while baking. In some cases, consumers reported damage to their microwave oven. In one instance, an adult reported burning her hands as she attempted to put out the fire while removing the Micro-Bake from her microwave.","The company will exchange all Micro Bake cake sets produced prior to Nov. 7 for a new one free of charge. Consumers should stop using the Micro-Bake immediately and call Paul Nawrocki at (212) 645-1515 x. 107 for help in identifying the recalled products and for exchange information.","Sold At","The Micro-Bake sets sold nationwide for about $20 in toy and discount stores beginning in August 1994.",,"Just Toys Inc. of New York, N.Y.",,,,
96-021,,"November 14, 1995",,"CPSC, Amana Announce Recall To Repair Oven","Modern Maid brand single gas wall ovens","WASHINGTON, D.C. - CPSC, Amana Refrigeration Inc. of Amana, Iowa, is announcing a recall to repair certain models of Modern Maid brand single gas wall ovens. The ovens may overheat the floor of surrounding cabinets and cause a fire.    Amana is aware of 35 incidents of the oven overheating, including one fatality allegedly caused by an oven fire.    The wall ovens, measuring 29-1/8 inches high, 23-5/8 inches wide and 21-3/4 inches deep, were sold under the brand name ""Modern Maid"" and available in six colors: Fresh Avocado, Coffee, Harvest Wheat, Almond, Snow, and Black Glass. Appliance retailers sold approximately 6,480 ovens nationwide between 1979 and 1984 for $699 to $719. The ovens have one of the following model numbers located on the front frame of the oven behind the lift-off oven door: QKO-751, QKO-751A, QGO-751, QGO-751A, DGO-751, DGO-751A, DKO-751, DKO-751A, QGO-851, QKO-851, DGO-851, or DKO-851.    Consumers should stop using the defective ovens immediately and call Amana toll-free at (800) 266-3535 for free installation of a corrective heat shield kit.","The ovens may overheat the floor of surrounding cabinets and cause a fire.",,,Repair,"Approximately 6,480","Amana is aware of 35 incidents of the oven overheating, including one fatality allegedly caused by an oven fire.","Consumers should stop using the defective ovens immediately and call Amana toll-free at (800) 266-3535 for free installation of a corrective heat shield kit.",,,,,,,,
96-005,,"October 16, 1995",,"CPSC And Maytag Announce Recall To Inspect And Repair Dishwashers","Maytag dishwashers","WASHINGTON, D.C. - CPSC, Maytag Corporation, of Newton, Iowa., is inspecting and repairing dishwashers with a component that can fail during use. This small electrical component, located in the base of the unit, can malfunction, overheat, and in rare circumstances, cause a fire.    Maytag has received 142 reports of component failures, including one confirmed fire that involved minor property damage. Maytag reports that most of the failures have occurred within the first eight months of the dishwasher's installation. The company will focus its inspection efforts on these dishwashers that it believes to be most at risk for component failure. There have been no reports of injuries resulting from the electrical component failures.    Maytag Corporation is inspecting and repairing at no charge to consumers certain Maytag brand dishwashers that carry serial numbers ending in one of the following pairs of letters: KF, KH, KK, KM, KQ, KS, KU, KW, KY, KZ, or MB. Maytag will mail notices to consumers whose dishwashers are to be inspected.    Maytag manufactured a total of 553,000 dishwashers with the component from March 1994 through January 1995. Maytag dealers and other retailers sold these dishwashers nationwide from April 1994 to October 1995.    Consumers should check their dishwasher's serial number to determine if it may be part of the inspection and repair program. The serial number is located in the upper left corner of the dishwasher tub, just below the countertop. Consumers who have one of these dishwashers can call Maytag Customer Service toll-free at (800) 462-9267 to arrange for their dishwasher to be inspected, or they can write the company at Maytag Customer Service, P.O. Box 8021, Cleveland, TN 37320-8021. Maytag recommends that, if consumers choose to continue to use their dishwashers prior to the inspection, they should do so only while at home, attending to the appliance.    Maytag media inquiries should be directed to Tom Schwartz, Director Corporate Communications, at (515) 791-6342.","This small electrical component, located in the base of the unit, can malfunction, overheat, and in rare circumstances, cause a fire.",,,"Inspect, Repair","553,000","Maytag has received 142 reports of component failures, including one confirmed fire that involved minor property damage. Maytag reports that most of the failures have occurred within the first eight months of the dishwasher's installation. There have been no reports of injuries resulting from the electrical component failures.","Consumers who have one of these dishwashers can call Maytag Customer Service toll-free at (800) 462-9267 to arrange for their dishwasher to be inspected, or they can write the company at Maytag Customer Service, P.O. Box 8021, Cleveland, TN 37320-8021. Maytag recommends that, if consumers choose to continue to use their dishwashers prior to the inspection, they should do so only while at home, attending to the appliance.",,,,,,,,
95-157,,"August 16, 1995",,"CPSC, American Harvest Inc. Announce Food Dehydrator Recall","Snackmaster food dehydrator","WASHINGTON, D.C. - CPSC, American Harvest Inc. of Chaska, Minn., is announcing a repair program for 56,843 food dehydrators. The heating element in the food dehydrators can overheat, presenting a fire hazard.    American Harvest is aware of three recent incidents in which the heating element overheated. CPSC and American Harvest are not aware of any injuries involving this product.    The recall program involves three Snackmaster models: 2200/FD-30, 2400/FD-50, and 2400T/FD-50T. The serial numbers on the bottom of the base of the recalled appliances have the first two digits 59 with B, C, D, F, G, H or J as the third digit, and ZB, ZC, ZD, ZF or ZH as the fourth and fifth digits. The recall also includes Snackmaster dehydrators with white or cream colored base covers that have been serviced since October 1994. The Snackmaster Jr. FD-20, and Gardenmaster FD-1000 are not affected by this recall.    The round, white plastic appliances measure 13 inches in diameter with a two-inch thick base and a white plastic lid. The base is labeled ""American Harvest Snackmaster Dehydrator."" The base is stacked with two or four 1.25-inch deep trays with holes in the center. Each tray contains a white plastic screen on which fruit, vegetables, or meat can be dried. The Model FD-30 is packaged with 2 trays and the Model FD-50 and the Model FD-50T are packaged with 4 trays. The FD-30 and the FD-50 have a gray plastic dial on the base which adjusts to various temperatures. The FD-50T has a digital read-out panel on the base with green rubber buttons for setting drying times and temperatures.    The dehydrators were sold nationwide at leading retailers between January and August 1995 for up to $110. They were packaged in a box labeled in part, ""American Harvest Snackmaster Dehydrator... As seen on TV... Fastest Most Even Drying... Made in USA...""    To promote consumer participation in this product repair program, the company will return each repaired food dehydrator with 2 free Jerky spice packets. In addition, each repaired unit will have its warranty extended for an additional 12 months.    Consumers with the recalled food dehydrators should stop using them and call American Harvest at (800) 624-2949. American Harvest will help consumers determine whether their Snackmaster is a part of this recall and will arrange to repair the unit by replacing its base cover for free.","The heating element in the food dehydrators can overheat, presenting a fire hazard.",,,Repair,"56,843","American Harvest is aware of three recent incidents in which the heating element overheated. CPSC and American Harvest are not aware of any injuries involving this product.","Consumers with the recalled food dehydrators should stop using them and call American Harvest at (800) 624-2949. American Harvest will help consumers determine whether their Snackmaster is a part of this recall and will arrange to repair the unit by replacing its base cover for free.",,,,,,"United States",,
